generation,seed,age,fitness
0,0,True,29.719334
1,0,True,19.583546
2,0,True,14.038196
3,0,True,10.188506
4,0,True,7.160472
5,0,True,5.2275896
6,0,True,3.6187677
7,0,True,2.753186
8,0,True,2.1685128
9,0,True,1.8972095
10,0,True,1.5805489
11,0,True,1.316203
12,0,True,1.0261531
13,0,True,0.7944323
14,0,True,0.6724259
15,0,True,0.53328234
16,0,True,0.40017605
17,0,True,0.21981438
18,0,True,0.07605441
19,0,True,0.023051629
20,0,True,0.005106192
21,0,True,0.0024807346
22,0,True,0.0019886836
23,0,True,0.0016357757
24,0,True,0.0014534965
25,0,True,0.0012884778
26,0,True,0.0010660093
27,0,True,0.0008260083
28,0,True,0.0006512778
29,0,True,0.0005226838
0,1,True,31.4058
1,1,True,21.175238
2,1,True,15.304011
3,1,True,10.541291
4,1,True,7.32266
5,1,True,5.528292
6,1,True,4.1012034
7,1,True,3.3153973
8,1,True,2.3636494
9,1,True,1.8210372
10,1,True,1.4733856
11,1,True,1.2112331
12,1,True,0.95995826
13,1,True,0.780649
14,1,True,0.6160409
15,1,True,0.42274225
16,1,True,0.32454664
17,1,True,0.26151887
18,1,True,0.20992897
19,1,True,0.1338375
20,1,True,0.08388851
21,1,True,0.050493244
22,1,True,0.039409667
23,1,True,0.030657992
24,1,True,0.023760483
25,1,True,0.017354941
26,1,True,0.013031667
27,1,True,0.0072929775
28,1,True,0.005526294
29,1,True,0.004747666
0,2,True,30.07692
1,2,True,21.577229
2,2,True,16.744953
3,2,True,13.322509
4,2,True,10.461124
5,2,True,7.5160465
6,2,True,5.98153
7,2,True,4.6728926
8,2,True,3.7534924
9,2,True,2.8307385
10,2,True,2.3003242
11,2,True,1.8592497
12,2,True,1.5275967
13,2,True,1.1878316
14,2,True,0.91423553
15,2,True,0.71158487
16,2,True,0.5579401
17,2,True,0.36249366
18,2,True,0.23354597
19,2,True,0.14997868
20,2,True,0.067918
21,2,True,0.041373834
22,2,True,0.0263663
23,2,True,0.017393062
24,2,True,0.014023254
25,2,True,0.01071311
26,2,True,0.008515268
27,2,True,0.006928304
28,2,True,0.0060322606
29,2,True,0.0046800976
0,3,True,29.158852
1,3,True,21.513775
2,3,True,15.459538
3,3,True,11.92211
4,3,True,9.065901
5,3,True,7.111177
6,3,True,5.456151
7,3,True,3.965932
8,3,True,2.787856
9,3,True,2.0156183
10,3,True,1.5661691
11,3,True,1.2683215
12,3,True,0.9885512
13,3,True,0.79014534
14,3,True,0.66480994
15,3,True,0.4418811
16,3,True,0.26929405
17,3,True,0.18064386
18,3,True,0.13748084
19,3,True,0.108810164
20,3,True,0.0853337
21,3,True,0.06638024
22,3,True,0.04976578
23,3,True,0.037549186
24,3,True,0.032016054
25,3,True,0.025603525
26,3,True,0.022755234
27,3,True,0.019628199
28,3,True,0.016199797
29,3,True,0.013256563
0,4,True,33.428383
1,4,True,24.72939
2,4,True,18.45747
3,4,True,14.289928
4,4,True,10.83579
5,4,True,8.161975
6,4,True,6.5387764
7,4,True,4.795991
8,4,True,3.466086
9,4,True,2.497924
10,4,True,1.9517987
11,4,True,1.6395036
12,4,True,1.3782396
13,4,True,1.1679795
14,4,True,0.9792769
15,4,True,0.8242562
16,4,True,0.6601072
17,4,True,0.4639156
18,4,True,0.375608
19,4,True,0.27792212
20,4,True,0.19600628
21,4,True,0.13025592
22,4,True,0.058750786
23,4,True,0.0307374
24,4,True,0.012856891
25,4,True,0.0048926114
26,4,True,0.0018361723
27,4,True,0.0012140633
28,4,True,0.0010416147
29,4,True,0.0009780277
0,5,True,24.932606
1,5,True,17.969496
2,5,True,12.361639
3,5,True,7.726547
4,5,True,4.7429314
5,5,True,3.2826803
6,5,True,2.363248
7,5,True,1.7862918
8,5,True,1.332146
9,5,True,1.0349956
10,5,True,0.8791017
11,5,True,0.71659493
12,5,True,0.59820795
13,5,True,0.48930982
14,5,True,0.32300445
15,5,True,0.21400562
16,5,True,0.15901767
17,5,True,0.11335254
18,5,True,0.07918359
19,5,True,0.061340004
20,5,True,0.04990075
21,5,True,0.040238038
22,5,True,0.032275297
23,5,True,0.02436461
24,5,True,0.0160902
25,5,True,0.00924192
26,5,True,0.004772915
27,5,True,0.0022461875
28,5,True,0.0012053401
29,5,True,0.00048850337
0,6,True,29.425459
1,6,True,20.167404
2,6,True,13.437121
3,6,True,9.48062
4,6,True,6.335229
5,6,True,4.3053074
6,6,True,3.2833085
7,6,True,2.6114128
8,6,True,2.1153336
9,6,True,1.7917781
10,6,True,1.5498031
11,6,True,1.3005065
12,6,True,1.102046
13,6,True,0.8820601
14,6,True,0.6723455
15,6,True,0.44173238
16,6,True,0.27806363
17,6,True,0.16973345
18,6,True,0.08710204
19,6,True,0.02560104
20,6,True,0.0041221785
21,6,True,0.0016668581
22,6,True,0.0011275004
23,6,True,0.0008396093
24,6,True,0.0006227364
25,6,True,0.00038370947
26,6,True,7.030859e-05
27,6,True,2.8436718e-05
28,6,True,2.5284453e-05
29,6,True,1.9952427e-05
0,7,True,23.912569
1,7,True,17.117794
2,7,True,12.320233
3,7,True,8.360233
4,7,True,5.7265096
5,7,True,4.142696
6,7,True,3.2395442
7,7,True,2.575855
8,7,True,2.0631657
9,7,True,1.8194574
10,7,True,1.5002686
11,7,True,1.2220197
12,7,True,1.0205976
13,7,True,0.83305764
14,7,True,0.669366
15,7,True,0.5758247
16,7,True,0.45603314
17,7,True,0.36432198
18,7,True,0.32113636
19,7,True,0.27056378
20,7,True,0.23818287
21,7,True,0.19899473
22,7,True,0.14310017
23,7,True,0.0918687
24,7,True,0.0551893
25,7,True,0.029014794
26,7,True,0.010235372
27,7,True,0.0059607285
28,7,True,0.0025402051
29,7,True,0.0011632604
0,8,True,28.534313
1,8,True,22.759
2,8,True,17.649714
3,8,True,13.6601515
4,8,True,10.496638
5,8,True,7.798212
6,8,True,6.1748433
7,8,True,4.553596
8,8,True,3.306863
9,8,True,2.6685095
10,8,True,2.187918
11,8,True,1.7453364
12,8,True,1.2724199
13,8,True,0.9890223
14,8,True,0.78736883
15,8,True,0.55502623
16,8,True,0.37792015
17,8,True,0.2991587
18,8,True,0.20640163
19,8,True,0.13087714
20,8,True,0.06752982
21,8,True,0.051792044
22,8,True,0.04196905
23,8,True,0.032777596
24,8,True,0.023716008
25,8,True,0.014258509
26,8,True,0.010085859
27,8,True,0.007831988
28,8,True,0.005775437
29,8,True,0.004831764
0,9,True,27.878412
1,9,True,18.441523
2,9,True,13.092058
3,9,True,9.604308
4,9,True,7.097439
5,9,True,5.460162
6,9,True,4.1491227
7,9,True,3.1813962
8,9,True,2.2208424
9,9,True,1.76568
10,9,True,1.423694
11,9,True,1.2049892
12,9,True,0.95668435
13,9,True,0.77453727
14,9,True,0.60856223
15,9,True,0.45441616
16,9,True,0.3191169
17,9,True,0.22030492
18,9,True,0.16125487
19,9,True,0.11821031
20,9,True,0.09298798
21,9,True,0.06799341
22,9,True,0.05282276
23,9,True,0.044103235
24,9,True,0.038091745
25,9,True,0.029723275
26,9,True,0.021680648
